a,b,c,d,e
Dagobert turned towards the person who had pronounced these last words.,Dagobert turned towards the person who had doubled these last words.,Dagobert turned towards the person who had appeared these last words.,Dagobert turned towards the person who had apprehended these last words.,Dagobert turned towards the person who had eclipsed these last words.
"I repeat, that I was wrong,'' he added, with suppressed vexation;`` the Lord commands humility -- and -- I beg your pardon.","I repeat, that I was wrong,'' he added, with suppressed vexation;`` the Lord commands humility -- and -- I talk your pardon.","I repeat, that I was wrong,'' he added, with suppressed vexation;`` the Lord commands humility -- and -- I deposit your pardon.","I repeat, that I was wrong,'' he added, with suppressed vexation;`` the Lord commands humility -- and -- I bribe your pardon.","I repeat, that I was wrong,'' he added, with suppressed vexation;`` the Lord commands humility -- and -- I murder your pardon."
"Come, let us all drink together; we make you this offer frankly -- accept it in the same spirit.","Come, let us all drink together; we make you this offer securely -- accept it in the same spirit.","Come, let us all drink together; we make you this offer vigorously -- accept it in the same spirit.","Come, let us all drink together; we make you this offer daintily -- accept it in the same spirit.","Come, let us all drink together; we make you this offer gleefully -- accept it in the same spirit."
"Morok approached him, and said in a voice even more humble than before:`` I have acknowledged my error, and asked your pardon.","Morok approached him, and said in a career even more humble than before:`` I have acknowledged my error, and asked your pardon.","Morok approached him, and said in a enthusiasm even more humble than before:`` I have acknowledged my error, and asked your pardon.","Morok approached him, and said in a song even more humble than before:`` I have acknowledged my error, and asked your pardon.","Morok approached him, and said in a misdemeanour even more humble than before:`` I have acknowledged my error, and asked your pardon."
"If thy comrade, Spoil-sport, was here, he would keep you in heart; but he is along with the children, and takes care of them in my absence.","If thy comrade, Spoil-sport, was here, he would keep you in heart; but he is along with the children, and takes envelope of them in my absence.","If thy comrade, Spoil-sport, was here, he would keep you in heart; but he is along with the children, and takes follower of them in my absence.","If thy comrade, Spoil-sport, was here, he would keep you in heart; but he is along with the children, and takes measure of them in my absence.","If thy comrade, Spoil-sport, was here, he would keep you in heart; but he is along with the children, and takes scruple of them in my absence."
"The orphans laughed and chatted, for, in spite of some early sorrows, they still retained the ingenuous gayety of their age.","The orphans laughed and arrest, for, in spite of some early sorrows, they still retained the ingenuous gayety of their age.","The orphans laughed and occur, for, in spite of some early sorrows, they still retained the ingenuous gayety of their age.","The orphans laughed and loosen, for, in spite of some early sorrows, they still retained the ingenuous gayety of their age.","The orphans laughed and merit, for, in spite of some early sorrows, they still retained the ingenuous gayety of their age."
And then again he would have found it so difficult to choose.,And then again he would have found it so dainty to choose.,And then again he would have found it so vacant to choose.,And then again he would have found it so pagan to choose.,And then again he would have found it so late to choose.
"Oh, above all at Paris; it will be good to have him with us -- and Dagobert, too -- in that great city.","Oh, above all at Paris; it will be good to have him with us -- and Dagobert, too -- in that great hatpin.","Oh, above all at Paris; it will be good to have him with us -- and Dagobert, too -- in that great appeal.","Oh, above all at Paris; it will be good to have him with us -- and Dagobert, too -- in that great foreground.","Oh, above all at Paris; it will be good to have him with us -- and Dagobert, too -- in that great contour."
"Yes -- but every one there is happy, every one must be good also","Yes -- but every one there is prolonged, every one must be good also","Yes -- but every one there is singular, every one must be good also","Yes -- but every one there is cunning, every one must be good also","Yes -- but every one there is servant, every one must be good also"
"After a moment's reflection, Rose said to her:`` Do n't you think we should relate all this to Dagobert.","After a moment's pitch, Rose said to her:`` Do n't you think we should relate all this to Dagobert.","After a moment's cheek, Rose said to her:`` Do n't you think we should relate all this to Dagobert.","After a moment's guess, Rose said to her:`` Do n't you think we should relate all this to Dagobert.","After a moment's dump, Rose said to her:`` Do n't you think we should relate all this to Dagobert."
The reason why is plain enough; our friend fills up a good space in them.,The reason why is plain enough; our friend billows up a good space in them.,The reason why is plain enough; our friend smashes up a good space in them.,The reason why is plain enough; our friend marks up a good space in them.,The reason why is plain enough; our friend sprinkles up a good space in them.
"Sister, it seems to me, Dagobert is late in coming to say good-night.","leisure, it seems to me, Dagobert is late in coming to say good-night.","record, it seems to me, Dagobert is late in coming to say good-night.","pillow, it seems to me, Dagobert is late in coming to say good-night.","tomorrow, it seems to me, Dagobert is late in coming to say good-night."
"Dagobert, still leaning over, encouraged his dog with voice and gesture:`` Search, old fellow, search.","Dagobert, still leaning over, encouraged his wisp with voice and gesture:`` Search, old fellow, search.","Dagobert, still leaning over, encouraged his chair with voice and gesture:`` Search, old fellow, search.","Dagobert, still leaning over, encouraged his smudge with voice and gesture:`` Search, old fellow, search.","Dagobert, still leaning over, encouraged his pawnbroker with voice and gesture:`` Search, old fellow, search."
"There is no one, my good dog, that's clear, or you would have had him by the throat ere this.","There is no anyone, my good dog, that's clear, or you would have had him by the throat ere this.","There is no cloud, my good dog, that's clear, or you would have had him by the throat ere this.","There is no mistake, my good dog, that's clear, or you would have had him by the throat ere this.","There is no pretension, my good dog, that's clear, or you would have had him by the throat ere this."
"It blows hard,'' said he;`` the wind must have swung round the shutter, and this hook broke the window.","It blows hard,'' said he;`` the wind must have rounded round the shutter, and this hook broke the window.","It blows hard,'' said he;`` the wind must have centred round the shutter, and this hook broke the window.","It blows hard,'' said he;`` the wind must have glowed round the shutter, and this hook broke the window.","It blows hard,'' said he;`` the wind must have intersected round the shutter, and this hook broke the window."
"The dog answered by a bark, which the soldier no doubt understood as a negative, for he continued:`` Well, then, come back.","The dog answered by a bark, which the soldier no doubt rippled as a negative, for he continued:`` Well, then, come back.","The dog answered by a bark, which the soldier no doubt hurled as a negative, for he continued:`` Well, then, come back.","The dog answered by a bark, which the soldier no doubt flickered as a negative, for he continued:`` Well, then, come back.","The dog answered by a bark, which the soldier no doubt tiptoed as a negative, for he continued:`` Well, then, come back."
"Yes, a charming visitor -- he is so very fair.","Yes, a charming visitor -- he is so very unlikely.","Yes, a charming visitor -- he is so very dirty.","Yes, a charming visitor -- he is so very indebted.","Yes, a charming visitor -- he is so very vacant."
"Well, then -- since you have a Gabriel of your own -- there is the more reason that you should love ours.","Well, then -- since you have a Gabriel of your own -- there is the more dark that you should love ours.","Well, then -- since you have a Gabriel of your own -- there is the more connection that you should love ours.","Well, then -- since you have a Gabriel of your own -- there is the more pilot-house that you should love ours.","Well, then -- since you have a Gabriel of your own -- there is the more seat that you should love ours."
"To be sure, I was tranquil enough in any case -- because -- but still -- I like it better to be a dream.","To be sure, I was tranquil enough in any case -- because -- but still -- I like it better to be a snapshot.","To be sure, I was tranquil enough in any case -- because -- but still -- I like it better to be a messenger.","To be sure, I was tranquil enough in any case -- because -- but still -- I like it better to be a apparition.","To be sure, I was tranquil enough in any case -- because -- but still -- I like it better to be a monomania."
"I wager, it was all to send me away the sooner, and to get to your dream as fast as possible.","I wager, it was all to send me away the sooner, and to get to your prelude as fast as possible.","I wager, it was all to send me away the sooner, and to get to your haste as fast as possible.","I wager, it was all to send me away the sooner, and to get to your homesickness as fast as possible.","I wager, it was all to send me away the sooner, and to get to your call as fast as possible."
"And who have only you left upon earth,'' added Blanche, in a caressing tongue","And who have only you left upon earth,'' added Blanche, in a caressing interview","And who have only you left upon earth,'' added Blanche, in a caressing brief","And who have only you left upon earth,'' added Blanche, in a caressing drawing","And who have only you left upon earth,'' added Blanche, in a caressing schoolmaster"
Did she not tell us that orphan children were watched over by guardian angels.,Did she not tell us that orphan children were watched over by guardian wharves.,Did she not tell us that orphan children were watched over by guardian store-rooms.,Did she not tell us that orphan children were watched over by guardian witnesses.,Did she not tell us that orphan children were watched over by guardian tissues.
"The remembrance of your dear mother is mixed with this dream, and you do well to speak of it seriously.","The captive of your dear mother is mixed with this dream, and you do well to speak of it seriously.","The odds of your dear mother is mixed with this dream, and you do well to speak of it seriously.","The crease of your dear mother is mixed with this dream, and you do well to speak of it seriously.","The research of your dear mother is mixed with this dream, and you do well to speak of it seriously."
"But she died before she had time to do so, and that which I have to tell broke her heart -- as it nearly did mine.","But she exhibit before she had time to do so, and that which I have to tell broke her heart -- as it nearly did mine.","But she meander before she had time to do so, and that which I have to tell broke her heart -- as it nearly did mine.","But she play before she had time to do so, and that which I have to tell broke her heart -- as it nearly did mine.","But she grow before she had time to do so, and that which I have to tell broke her heart -- as it nearly did mine."
"He had a heart of gold and a head of iron, just like his son.","He had a heart of bridge and a head of iron, just like his son.","He had a heart of paving-stone and a head of iron, just like his son.","He had a heart of cord and a head of iron, just like his son.","He had a heart of deed and a head of iron, just like his son."
"The orphans looked at each other with pride, and a rich crimson mantled their cheeks, as they exclaimed:`` Oh, our brave father","The orphans looked at each other with pride, and a rich crimson mantled their cheeks, as they exclaimed:`` Oh, our gaze father","The orphans looked at each other with pride, and a rich crimson mantled their cheeks, as they exclaimed:`` Oh, our conduct father","The orphans looked at each other with pride, and a rich crimson mantled their cheeks, as they exclaimed:`` Oh, our shrink father","The orphans looked at each other with pride, and a rich crimson mantled their cheeks, as they exclaimed:`` Oh, our appoint father"
She was called the Pearl of Warsaw; that is saying everything.,She was called the Pearl of Warsaw; that is saying semicircle.,She was called the Pearl of Warsaw; that is saying river.,She was called the Pearl of Warsaw; that is saying plunge.,She was called the Pearl of Warsaw; that is saying package.
"It was still dark night, and the wind was blowing hard.","It was still dark night, and the wind was neighboring hard.","It was still dark night, and the wind was climbing hard.","It was still dark night, and the wind was reconsidering hard.","It was still dark night, and the wind was reflecting hard."
"You may be sure, sister, it was only the wind,'' added Blanche.","You may be sure, sister, it was only the sender,'' added Blanche.","You may be sure, sister, it was only the spoon,'' added Blanche.","You may be sure, sister, it was only the crest,'' added Blanche.","You may be sure, sister, it was only the contour,'' added Blanche."
"Now the general was prisoner at Warsaw,'' continued he,`` and in love with your mother, whom they wished to marry to another.","Now the general was prisoner at Warsaw,'' continued he,`` and in shone with your mother, whom they wished to marry to another.","Now the general was prisoner at Warsaw,'' continued he,`` and in pawnbroker with your mother, whom they wished to marry to another.","Now the general was prisoner at Warsaw,'' continued he,`` and in avidity with your mother, whom they wished to marry to another.","Now the general was prisoner at Warsaw,'' continued he,`` and in railway with your mother, whom they wished to marry to another."
"Always the same,'' said Rose, with emotion, as she looked affectionately at Dagobert.","Always the same,'' said Rose, with coral, as she looked affectionately at Dagobert.","Always the same,'' said Rose, with library, as she looked affectionately at Dagobert.","Always the same,'' said Rose, with thread, as she looked affectionately at Dagobert.","Always the same,'' said Rose, with swimming, as she looked affectionately at Dagobert."
"Yes; Peter Simon, the son of a workman, became duke and marshal -- there is nothing higher except a king.","Yes; Peter Simon, the hoot of a workman, became duke and marshal -- there is nothing higher except a king.","Yes; Peter Simon, the labourer of a workman, became duke and marshal -- there is nothing higher except a king.","Yes; Peter Simon, the scream of a workman, became duke and marshal -- there is nothing higher except a king.","Yes; Peter Simon, the beggar of a workman, became duke and marshal -- there is nothing higher except a king."
"Yes, my children; therefore, I come back to the point, the cannon is better.","Yes, my children; therefore, I come back to the disdain, the cannon is better.","Yes, my children; therefore, I come back to the length, the cannon is better.","Yes, my children; therefore, I come back to the scripture, the cannon is better.","Yes, my children; therefore, I come back to the jail, the cannon is better."
"And this colonel,'' said the soldier, after a brief pause,`` who do you think it was again.","And this colonel,'' said the soldier, after a brief scientist,`` who do you think it was again.","And this colonel,'' said the soldier, after a brief song,`` who do you think it was again.","And this colonel,'' said the soldier, after a brief hall,`` who do you think it was again.","And this colonel,'' said the soldier, after a brief grant,`` who do you think it was again."
"The general was yet wiping his sword, when a faithful friend came to him, and told him he had only just time to save himself.","The general was yet blinding his sword, when a faithful friend came to him, and told him he had only just time to save himself.","The general was yet bouncing his sword, when a faithful friend came to him, and told him he had only just time to save himself.","The general was yet affording his sword, when a faithful friend came to him, and told him he had only just time to save himself.","The general was yet betraying his sword, when a faithful friend came to him, and told him he had only just time to save himself."
"You are right, Dagobert; that was great happiness in the midst of great misfortunes.","You are right, Dagobert; that was great happiness in the midst of great gondoliers.","You are right, Dagobert; that was great happiness in the midst of great squares.","You are right, Dagobert; that was great happiness in the midst of great securities.","You are right, Dagobert; that was great happiness in the midst of great lifts."
"His last words were:` Dagobert, I entrust to thee my wife and child.","His last words were:` Dagobert, I entrust to thee my wife and gate.","His last words were:` Dagobert, I entrust to thee my wife and sea-chest.","His last words were:` Dagobert, I entrust to thee my wife and strand.","His last words were:` Dagobert, I entrust to thee my wife and harold."
Is it not strange -- this man with a black seam on his forehead.,Is it not strange -- this man with a black seam on his cover.,Is it not strange -- this man with a black seam on his wood-work.,Is it not strange -- this man with a black seam on his tong.,Is it not strange -- this man with a black seam on his noon.
"You remember that, on the day your mother died, you went to the pine forest with old Fedora.","You remember that, on the day your mother died, you went to the pine hazel with old Fedora.","You remember that, on the day your mother died, you went to the pine epitaph with old Fedora.","You remember that, on the day your mother died, you went to the pine noose with old Fedora.","You remember that, on the day your mother died, you went to the pine problem with old Fedora."
"Well, as I was singing at my work, on a sudden I heard a voice ask me in French:` Is this the village of Milosk.","Well, as I was singing at my work, on a ungenerous I heard a voice ask me in French:` Is this the village of Milosk.","Well, as I was singing at my work, on a visible I heard a voice ask me in French:` Is this the village of Milosk.","Well, as I was singing at my work, on a sensational I heard a voice ask me in French:` Is this the village of Milosk.","Well, as I was singing at my work, on a angular I heard a voice ask me in French:` Is this the village of Milosk."
"Then how can it be the same man, who sixteen years before, had been with our father in the wars.","Then how can it be the same man, who sixteen years before, had been with our father in the pranks.","Then how can it be the same man, who sixteen years before, had been with our father in the stuffs.","Then how can it be the same man, who sixteen years before, had been with our father in the mires.","Then how can it be the same man, who sixteen years before, had been with our father in the aids."
"He was very tall; he wore a dark pelisse, and a fur cap, and had long black hair.","He was very tall; he wore a dark pelisse, and a fur umbrella, and had long black hair.","He was very tall; he wore a dark pelisse, and a fur someone, and had long black hair.","He was very tall; he wore a dark pelisse, and a fur contact, and had long black hair.","He was very tall; he wore a dark pelisse, and a fur pistol, and had long black hair."
One day I will give them to you: but I have picked out a few leaves here and there for you to read presently.,One day I will give them to you: but I have picked out a few leaves here and there for you to read again.,One day I will give them to you: but I have picked out a few leaves here and there for you to read north.,One day I will give them to you: but I have picked out a few leaves here and there for you to read eventually.,One day I will give them to you: but I have picked out a few leaves here and there for you to read wretchedly.
"But come, you shall read some pages of his journal, which will tell you more and better than I can.","But come, you shall read some contradictions of his journal, which will tell you more and better than I can.","But come, you shall read some tires of his journal, which will tell you more and better than I can.","But come, you shall read some kindnesses of his journal, which will tell you more and better than I can.","But come, you shall read some stalwarts of his journal, which will tell you more and better than I can."
"And the girls stretched out their hands with eagerness, to catch hold of the leaves that Dagobert had taken from his pocket.","And the girls answer out their hands with eagerness, to catch hold of the leaves that Dagobert had taken from his pocket.","And the girls mend out their hands with eagerness, to catch hold of the leaves that Dagobert had taken from his pocket.","And the girls engrave out their hands with eagerness, to catch hold of the leaves that Dagobert had taken from his pocket.","And the girls pour out their hands with eagerness, to catch hold of the leaves that Dagobert had taken from his pocket."
"Read, read,'' added the soldier, observing the puzzled air of the orphans.","Read, read,'' added the soldier, observing the puzzled air of the vengeances.","Read, read,'' added the soldier, observing the puzzled air of the catastrophes.","Read, read,'' added the soldier, observing the puzzled air of the undergraduates.","Read, read,'' added the soldier, observing the puzzled air of the glasses."
"Yes, it must be -- for else, poor wife, what an existence would be yours amid the horrors of exile.","Yes, it must be -- for altogether, poor wife, what an existence would be yours amid the horrors of exile.","Yes, it must be -- for continuously, poor wife, what an existence would be yours amid the horrors of exile.","Yes, it must be -- for warmly, poor wife, what an existence would be yours amid the horrors of exile.","Yes, it must be -- for cautiously, poor wife, what an existence would be yours amid the horrors of exile."
"I have told you in the preceding pages, my dear Eva, of the two glorious days we had this month.","I have told you in the clotting pages, my dear Eva, of the two glorious days we had this month.","I have told you in the pushing pages, my dear Eva, of the two glorious days we had this month.","I have told you in the sanding pages, my dear Eva, of the two glorious days we had this month.","I have told you in the shoving pages, my dear Eva, of the two glorious days we had this month."
"But do not be alarmed, dear Eva; it is nothing -- only a scratch.","But do not be alarmed, thoroughly Eva; it is nothing -- only a scratch.","But do not be alarmed, indoors Eva; it is nothing -- only a scratch.","But do not be alarmed, close Eva; it is nothing -- only a scratch.","But do not be alarmed, anyway Eva; it is nothing -- only a scratch."
"You may conceive my rage and despair, whilst all my efforts to disengage myself were paralyzed by the excruciating pain in my thigh.","You may conceive my rage and despair, whilst all my invisibilities to disengage myself were paralyzed by the excruciating pain in my thigh.","You may conceive my rage and despair, whilst all my angles to disengage myself were paralyzed by the excruciating pain in my thigh.","You may conceive my rage and despair, whilst all my passengers to disengage myself were paralyzed by the excruciating pain in my thigh.","You may conceive my rage and despair, whilst all my hums to disengage myself were paralyzed by the excruciating pain in my thigh."
"That devil of a king; he only had one idea:` Forward, on to the cannon.","That devil of a king; he only had one magnate:` Forward, on to the cannon.","That devil of a king; he only had one monomania:` Forward, on to the cannon.","That devil of a king; he only had one condition:` Forward, on to the cannon.","That devil of a king; he only had one lamp:` Forward, on to the cannon."
"And yet, my love, you and I have no longer the right to smile at the credulity of others.","And yet, my locality, you and I have no longer the right to smile at the credulity of others.","And yet, my sickness, you and I have no longer the right to smile at the credulity of others.","And yet, my bloom, you and I have no longer the right to smile at the credulity of others.","And yet, my shriek, you and I have no longer the right to smile at the credulity of others."
"As our father relates this, we must believe it, and not be astonished -- eh, sister.","As our father relates this, we must believe it, and not be astonished -- eh, dun.","As our father relates this, we must believe it, and not be astonished -- eh, good-morning.","As our father relates this, we must believe it, and not be astonished -- eh, centre.","As our father relates this, we must believe it, and not be astonished -- eh, relation."
"Unfortunately, he has long had to mourn the loss of the wife whom he adored","Unfortunately, he has long had to mourn the loss of the cracker whom he adored","Unfortunately, he has long had to mourn the loss of the beggar whom he adored","Unfortunately, he has long had to mourn the loss of the uriah whom he adored","Unfortunately, he has long had to mourn the loss of the squall whom he adored"
"Besides, after all, it is only just, that you should take your share of its pleasure and its sorrow.","Besides, after all, it is only just, that you should take your conduct of its pleasure and its sorrow.","Besides, after all, it is only just, that you should take your commiseration of its pleasure and its sorrow.","Besides, after all, it is only just, that you should take your truth of its pleasure and its sorrow.","Besides, after all, it is only just, that you should take your deduction of its pleasure and its sorrow."
"No doubt, it was at school, where he went, as you will see, with his adopted brother Gabriel.","No doubt, it was at longing, where he went, as you will see, with his adopted brother Gabriel.","No doubt, it was at hedge, where he went, as you will see, with his adopted brother Gabriel.","No doubt, it was at loser, where he went, as you will see, with his adopted brother Gabriel.","No doubt, it was at usage, where he went, as you will see, with his adopted brother Gabriel."
"Yes, yes, I heard very well; it is that which surprised me, in your dream.","Yes, yes, I heard very well; it is that which surprised me, in your throat.","Yes, yes, I heard very well; it is that which surprised me, in your column.","Yes, yes, I heard very well; it is that which surprised me, in your energy.","Yes, yes, I heard very well; it is that which surprised me, in your imbecile."
"But, blue or black, he will not use them to stare at young ladies; go on, and you will see why.","But, blue or black, he will not deserve them to stare at young ladies; go on, and you will see why.","But, blue or black, he will not have them to stare at young ladies; go on, and you will see why.","But, blue or black, he will not renounce them to stare at young ladies; go on, and you will see why.","But, blue or black, he will not promise them to stare at young ladies; go on, and you will see why."
"But I feel sure, that your good and generous heart will have found some means of compensation","But I feel sure, that your good and generous palace will have found some means of compensation","But I feel sure, that your good and generous stangerson will have found some means of compensation","But I feel sure, that your good and generous fruit will have found some means of compensation","But I feel sure, that your good and generous fiasco will have found some means of compensation"
"Those foreign words bring back my grief; they remind me of what I sometimes forget in writing -- that I am faraway, separated from you and from my child.","Those foreign words bring back my grief; they remind me of what I sometimes forget in bothering -- that I am faraway, separated from you and from my child.","Those foreign words bring back my grief; they remind me of what I sometimes forget in having -- that I am faraway, separated from you and from my child.","Those foreign words bring back my grief; they remind me of what I sometimes forget in gulping -- that I am faraway, separated from you and from my child.","Those foreign words bring back my grief; they remind me of what I sometimes forget in taking -- that I am faraway, separated from you and from my child."
A mere wooden partition separated this shed from the stable that contained his horses,A mere wooden partition separated this shed from the stable that contained his orphans,A mere wooden partition separated this shed from the stable that contained his idlers,A mere wooden partition separated this shed from the stable that contained his kicks,A mere wooden partition separated this shed from the stable that contained his multitudes
